"Season","Week","DateTime","Away","Away.Pts","Away.Yds","Away.TOs","Home","Home.Pts","Home.Yds","Home.TOs","Home.Spread","Game.Spread","Game.Total"
2000,8,2000-10-22 13:00:00,"LAR",34,428,4,"KC",54,468,0,-20,20,88
2000,8,2000-10-22 13:02:00,"BUF",27,406,1,"MIN",31,348,1,-4,4,58
2000,8,2000-10-22 13:02:00,"SF",16,411,2,"CAR",34,390,0,-18,18,50
2000,8,2000-10-22 13:02:00,"TEN",14,191,2,"BAL",6,368,4,8,8,20
2000,8,2000-10-22 13:03:00,"CHI",9,274,1,"PHI",13,298,2,-4,4,22
2000,8,2000-10-22 13:05:00,"NO",21,402,1,"ATL",19,278,0,2,2,40
2000,8,2000-10-22 16:05:00,"CLE",0,104,3,"PIT",22,248,0,-22,22,22
2000,8,2000-10-22 16:05:00,"SEA",3,283,3,"LV",31,380,1,-28,28,34
2000,8,2000-10-22 16:15:00,"WAS",35,399,2,"JAC",16,385,4,19,19,51
2000,8,2000-10-23 21:10:00,"MIA",37,433,3,"NYJ",40,455,4,-3,3,77
2000,9,2000-10-29 13:01:00,"MIN",13,401,3,"TB",41,413,0,-28,28,54
2000,9,2000-10-29 13:01:00,"NYJ",20,337,4,"BUF",23,338,0,-3,3,43
2000,9,2000-10-29 13:02:00,"CAR",12,209,4,"ATL",13,281,3,-1,1,25
2000,9,2000-10-29 13:02:00,"GB",20,319,2,"MIA",28,296,1,-8,8,48
2000,9,2000-10-29 13:02:00,"PIT",9,231,1,"BAL",6,274,3,3,3,15
2000,9,2000-10-29 13:03:00,"CIN",12,253,1,"CLE",3,182,1,9,9,15
2000,9,2000-10-29 14:00:00,"DET",18,328,4,"IND",30,420,5,-12,12,48
2000,9,2000-10-29 16:05:00,"NO",21,247,1,"ARI",10,394,4,11,11,31
2000,9,2000-10-29 16:05:00,"LAR",34,447,1,"SF",24,325,0,10,10,58
2000,9,2000-10-29 16:07:00,"PHI",7,192,1,"NYG",24,384,0,-17,17,31
2000,9,2000-10-29 16:15:00,"JAC",23,392,0,"DAL",17,325,3,6,6,40
2000,9,2000-10-29 16:16:00,"KC",24,410,3,"SEA",19,351,4,5,5,43
2000,9,2000-10-29 20:35:00,"LV",15,228,1,"LAC",13,224,2,2,2,28
2000,9,2000-10-30 21:01:00,"TEN",27,189,0,"WAS",21,266,3,6,6,48
2000,10,2000-11-05 13:01:00,"MIA",23,293,0,"DET",8,253,3,15,15,31
2000,10,2000-11-05 13:02:00,"BUF",16,315,1,"NE",13,189,2,3,3,29
2000,10,2000-11-05 13:02:00,"IND",24,371,2,"CHI",27,370,0,-3,3,51
2000,10,2000-11-05 13:02:00,"SF",15,346,2,"NO",31,360,0,-16,16,46
